objectid,stationcode,sampledate,fieldreplicate,sampletypecode,fieldsampleid,labsampleid,labbatch,analysisdate,labreplicate,matrixname,methodname,analytename,fractionname,unit,dilfactor,result,resqualcode,mdl,rl,qacode,expectedvalue,labagencycode,labresultcomments,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,lastchangedate,submissionid
14910,ME-SCR2,2020-06-15T07:00:00Z,1,Grab,ME-SCR2,0F16049-02,[CALC]_SMC2020_N,2020-06-18T22:34:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,1.0,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{97113801-D2A9-409E-A71A-2E42510AC0B9},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14911,408M03143,2020-06-17T07:00:00Z,1,Grab,408M03143,0F18011-02,[CALC]_SMC2020_N,2020-06-26T19:10:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,4.4,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{F89FCA4A-E725-439E-9F5D-F5EEFDA4BD95},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14912,408M03155,2020-06-17T07:00:00Z,1,Grab,408M03155,0F18011-03,[CALC]_SMC2020_N,2020-06-26T19:12:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,7.2,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{B4F59587-9FB5-45C6-8E52-081F5CC8D855},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14913,402M00130,2020-06-18T07:00:00Z,1,Grab,402M00130,0F19045-02,[CALC]_SMC2020_N,2020-06-26T19:35:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,1.1,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{67A29F4F-C7B1-4CA6-8FE2-950D8653A13B},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14914,SMC00836,2020-06-25T07:00:00Z,1,Grab,SMC00836,0F26055-01,[CALC]_SMC2020_N,2020-07-02T01:16:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,8.5,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{4837C1E7-EBE5-4DBA-B8B4-D8947CB0E9E3},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14915,408M03175,2020-06-25T07:00:00Z,1,Grab,408M03175,0F26055-03,[CALC]_SMC2020_N,2020-07-02T01:18:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,8.1,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{5388321A-3A1E-4049-8156-5586A8F5C0F0},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14916,ME-CC,2020-06-25T07:00:00Z,1,Grab,ME-CC,0F26055-04,[CALC]_SMC2020_N,2020-07-02T01:19:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,5.5,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{2C82D718-6884-41A0-B8AA-34B45A1E97AD},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14917,ME-VR2,2020-07-01T07:00:00Z,1,Grab,ME-VR2,0G01036-03,[CALC]_SMC2020_N,2020-07-10T01:01:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,0.55,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{A6C8C6DF-E687-48E6-9C7C-6D84722E749E},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14918,ME-VR2,2020-07-01T07:00:00Z,2,Grab,MD-2,0G01036-01,[CALC]_SMC2020_N,2020-07-10T00:43:00Z,1,samplewater,None,"Nitrogen,Total",Total,mg/L,1,0.57,=,0.054,0.3,None,-88,WKL,"""None"" 01/Jan/1950 00:00",{B04BB518-CE87-4707-B1EB-BA8B095238AE},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14919,000NONPJ,2020-06-04T07:00:00Z,1,Grab,0F04037-02,0F04037-02,W0F0257,2020-06-04T22:39:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,-88.0,ND,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 04/Jun/2020 09:02",{1BFE8E01-85B6-4761-B355-E4A483584333},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14920,000NONPJ,2020-06-04T07:00:00Z,1,Grab,0F04037-02,W0F0257-DU1,W0F0257,2020-06-04T22:39:00Z,2,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,-88.0,ND,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 04/Jun/2020 09:02",{A3F84A72-7F02-48AF-AC33-3BF58472A49F},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14921,SMC00027,2020-06-03T07:00:00Z,1,Grab,SMC00027,0F04038-01,W0F0257,2020-06-04T22:51:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0018,DNQ,2.2e-4,0.002,J,-88,WKL,"J, ""LabFiltered"" 03/Jun/2020 09:58",{70329FF4-E887-461C-9C3A-BF6092039235},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14922,LABQA,2020-06-04T07:00:00Z,1,LabBlank,W0F0257-BLK1,W0F0257-BL1,W0F0257,2020-06-04T22:25:00Z,1,labwater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.000278,DNQ,2.2e-4,0.002,J,-88,WKL,"J, ""LabFiltered"" 04/Jun/2020 09:02",{FADCA779-DD1F-49CA-9263-BFD6D5637545},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14923,403M01575,2020-06-03T07:00:00Z,1,Grab,403M01575,0F04038-02,W0F0257,2020-06-04T22:52:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0084,=,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 03/Jun/2020 13:10",{95153A7E-9C8F-4978-8959-D75B5B6A9055},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14924,LABQA,2020-06-04T07:00:00Z,1,LCS,W0F0257-BS1,W0F0257-BS1,W0F0257,2020-06-04T22:29:00Z,1,labwater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0482,=,2.2e-4,0.002,None,0.05,WKL,"PR 96, ""LabFiltered"" 04/Jun/2020 09:02",{4637CE24-56F6-4EA7-9AAD-7D2F11F173A6},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14925,000NONPJ,2020-06-04T07:00:00Z,1,MS1,0F04037-02,W0F0257-MS1,W0F0257,2020-06-04T22:36:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0483,=,2.2e-4,0.002,None,0.05,WKL,"PR 97, ""LabFiltered"" 04/Jun/2020 09:02",{06AD25A1-3CBD-4A06-97F1-60715BF0C6A1},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14926,000NONPJ,2020-06-04T07:00:00Z,1,MS1,0F04037-02,W0F0257-MS1,W0F0257,2020-06-04T22:38:00Z,2,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0484,=,2.2e-4,0.002,None,0.05,WKL,"PR 97,RPD 0.2, ""LabFiltered"" 04/Jun/2020 09:02",{2794C57D-8BB3-44E4-A1A0-137292861998},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14927,000NONPJ,2020-06-04T07:00:00Z,1,Grab,0F04037-02,0F04037-02,W0F0287,2020-06-04T19:38:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 11:03",{333D3A6F-FA54-4411-85D4-829FC44841EB},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14928,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F04037-02,0F04037-02,W0F0287,2020-06-05T19:43:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 11:03",{DC066867-B98C-4C1A-AD5E-8BBFE4A35717},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14929,SMC00027,2020-06-03T07:00:00Z,1,Grab,SMC00027,0F04038-01,W0F0287,2020-06-04T19:45:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 03/Jun/2020 09:58",{E09186DA-E4FA-4A29-8F6C-C894B4098090},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14930,403M01575,2020-06-03T07:00:00Z,1,Grab,403M01575,0F04038-02,W0F0287,2020-06-04T19:46:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 03/Jun/2020 13:10",{0FE8F7C7-7443-40A0-A16C-608510B69CEF},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14931,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F04037-02,W0F0287-DU1,W0F0287,2020-06-05T19:43:00Z,2,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 11:03",{4823CA2C-1EB5-45EC-A21E-80D527FF6635},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14932,LABQA,2020-06-04T07:00:00Z,1,LabBlank,W0F0287-BLK1,W0F0287-BL1,W0F0287,2020-06-04T19:34:00Z,1,labwater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 11:03",{E75EFC5C-A1DD-4C42-895C-C7591364495A},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14933,LABQA,2020-06-04T07:00:00Z,1,LCS,W0F0287-BS1,W0F0287-BS1,W0F0287,2020-06-04T19:35:00Z,1,labwater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,0.996,=,0.036,0.2,None,1,WKL,"PR 100, ""LabAcidified"" 04/Jun/2020 11:03",{861386A4-C8DB-40E9-B911-BF20112555F8},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14934,000NONPJ,2020-06-04T07:00:00Z,1,MS1,0F04037-02,W0F0287-MS1,W0F0287,2020-06-04T19:38:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,2.0,=,0.036,0.2,None,2,WKL,"PR 100, ""LabAcidified"" 04/Jun/2020 11:03",{83515424-2E51-4677-AC2E-CFBE91181918},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14935,000NONPJ,2020-06-04T07:00:00Z,1,MS1,0F04037-02,W0F0287-MS1,W0F0287,2020-06-04T19:39:00Z,2,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,2.0,=,0.036,0.2,None,2,WKL,"PR 100,RPD 0, ""LabAcidified"" 04/Jun/2020 11:03",{2B9EBBF2-7A4C-4B73-9C9A-926CBFE76542},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14936,402M00094,2020-06-04T07:00:00Z,1,Grab,402M00094,0F05075-01,W0F0349,2020-06-05T23:52:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 08:40",{38B86665-09CB-4BB5-B8AB-738AC28CA2EC},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14937,402M00090,2020-06-04T07:00:00Z,1,Grab,402M00090,0F05075-02,W0F0349,2020-06-05T23:53:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 04/Jun/2020 10:55",{2B5EDFA4-A9BA-4806-95AA-721591D656C9},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14938,LABQA,2020-06-05T07:00:00Z,1,LabBlank,W0F0349-BLK1,W0F0349-BL1,W0F0349,2020-06-05T23:35:00Z,1,labwater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,-88.0,ND,0.036,0.2,None,-88,WKL,"""LabAcidified"" 05/Jun/2020 09:05",{8EBC2E97-870A-4C80-B5BF-0B784BAC6575},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14939,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F05031-01,0F05031-01,W0F0349,2020-06-05T23:40:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,0.21899999999999997,=,0.036,0.2,None,-88,WKL,"""LabAcidified"" 05/Jun/2020 09:05",{0A441AB3-FE31-4853-9B2A-676CFFBD358E},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14940,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F05031-01,W0F0349-DU1,W0F0349,2020-06-05T23:40:00Z,2,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,0.22,=,0.036,0.2,None,-88,WKL,"RPD 0.5, ""LabAcidified"" 05/Jun/2020 09:05",{79632501-6D71-4122-B08B-997B38FDF041},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14941,LABQA,2020-06-05T07:00:00Z,1,LCS,W0F0349-BS1,W0F0349-BS1,W0F0349,2020-06-05T23:36:00Z,1,labwater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,0.9940000000000001,=,0.036,0.2,None,1,WKL,"PR 99, ""LabAcidified"" 05/Jun/2020 09:05",{420BF440-3BAC-4216-95F9-82D5B7B66331},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14942,000NONPJ,2020-06-05T07:00:00Z,1,MS1,0F05031-01,W0F0349-MS1,W0F0349,2020-06-05T23:41:00Z,1,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,2.001,=,0.036,0.2,None,2,WKL,"PR 100, ""LabAcidified"" 05/Jun/2020 09:05",{1A883286-F8B2-4829-BE42-A3754094B681},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14943,000NONPJ,2020-06-05T07:00:00Z,1,MS1,0F05031-01,W0F0349-MS1,W0F0349,2020-06-05T23:42:00Z,2,samplewater,EPA 353.2,Nitrate + Nitrite as N,Total,mg/L,1,1.9809999999999999,=,0.036,0.2,None,2,WKL,"PR 99,RPD 0.9, ""LabAcidified"" 05/Jun/2020 09:05",{9EAAC0D9-5753-4F2D-8C71-020428653442},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14964,LABQA,2020-06-05T07:00:00Z,1,LabBlank,W0F0386-BLK1,W0F0386-BL1,W0F0386,2020-06-05T22:03:00Z,1,labwater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.00028399999999999996,DNQ,2.2e-4,0.002,J,-88,WKL,"J, ""LabFiltered"" 05/Jun/2020 12:53",{5542E494-55B5-4189-BAE4-E445CC6AA77C},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14965,000NONPJ,2020-06-05T07:00:00Z,1,MS1,0F05031-01,W0F0386-MS1,W0F0386,2020-06-05T22:14:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0437,=,2.2e-4,0.002,GB,0.05,WKL,"PR 87,MS-01, ""LabFiltered"" 05/Jun/2020 12:53",{33A084A9-7D68-4906-91C0-259DC5C5341A},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14966,000NONPJ,2020-06-05T07:00:00Z,1,MS1,0F05031-01,W0F0386-MS1,W0F0386,2020-06-05T22:16:00Z,2,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0437,=,2.2e-4,0.002,GB,0.05,WKL,"PR 87,RPD 0,MS-01, ""LabFiltered"" 05/Jun/2020 12:53",{0718AE5C-CDEE-4407-93C8-4C9F33F21C66},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14967,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F05031-01,0F05031-01,W0F0386,2020-06-05T22:13:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0623,=,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 05/Jun/2020 12:53",{939F0F10-0877-4658-B73A-F4FBFF291606},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14968,402M00094,2020-06-04T07:00:00Z,1,Grab,402M00094,0F05075-01,W0F0386,2020-06-05T22:17:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0024,=,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 04/Jun/2020 08:40",{40C3610E-B245-4585-8E60-25415341A6E5},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14969,402M00090,2020-06-04T07:00:00Z,1,Grab,402M00090,0F05075-02,W0F0386,2020-06-05T22:19:00Z,1,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0031,=,2.2e-4,0.002,None,-88,WKL,"""LabFiltered"" 04/Jun/2020 10:55",{DFB5F5E7-2C0B-4F63-8534-5F445D74499C},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14970,000NONPJ,2020-06-05T07:00:00Z,1,Grab,0F05031-01,W0F0386-DU1,W0F0386,2020-06-05T22:13:00Z,2,samplewater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.0619,=,2.2e-4,0.002,None,-88,WKL,"RPD 0.6, ""LabFiltered"" 05/Jun/2020 12:53",{38A9AAE9-EEBE-4FFC-9E94-3D71D4E356B4},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
14971,LABQA,2020-06-05T07:00:00Z,1,LCS,W0F0386-BS1,W0F0386-BS1,W0F0386,2020-06-05T22:07:00Z,1,labwater,EPA 365.1,OrthoPhosphate as P,Total,mg/L,1,0.048,=,2.2e-4,0.002,None,0.05,WKL,"PR 96, ""LabFiltered"" 05/Jun/2020 12:53",{984C9BC4-56DA-479A-8F86-DE6BFA270832},checker,2020-08-13T17:51:23Z,checker,2020-08-13T17:51:23Z,kelly.hahs@ventura.org,VCWPD,VCWPD,2020,SMC,NA,NA
